Date,Time,Day Ahead Price
9/1/2024,00:00,77.238
9/1/2024,01:00,74.928
9/1/2024,02:00,74.928
9/1/2024,03:00,73.7268
9/1/2024,04:00,71.022
9/1/2024,05:00,73.92
9/1/2024,06:00,79.9428
9/1/2024,07:00,79.9428
9/1/2024,08:00,74.7264
9/1/2024,09:00,74.676
9/1/2024,10:00,74.676
9/1/2024,11:00,74.7264
9/1/2024,12:00,79.5816
9/1/2024,13:00,79.9428
9/1/2024,14:00,77.7
9/1/2024,15:00,79.9428
9/1/2024,16:00,101.5308
9/1/2024,17:00,118.2048
9/1/2024,18:00,127.0248
9/1/2024,19:00,126.84
9/1/2024,20:00,133.56
9/1/2024,21:00,113.4
9/1/2024,22:00,105
9/1/2024,23:00,96.3144
9/2/2024,00:00,90.048
9/2/2024,01:00,84.7224
9/2/2024,02:00,81.48
9/2/2024,03:00,81.4464
9/2/2024,04:00,84.4116
9/2/2024,05:00,88.41
9/2/2024,06:00,104.622
9/2/2024,07:00,104.16
9/2/2024,08:00,100.6068
9/2/2024,09:00,95.76
9/2/2024,10:00,91.2912
9/2/2024,11:00,88.2
9/2/2024,12:00,84.336
9/2/2024,13:00,83.538
9/2/2024,14:00,86.2512
9/2/2024,15:00,95.886
9/2/2024,16:00,110.04
9/2/2024,17:00,122.0604
9/2/2024,18:00,128.8476
9/2/2024,19:00,128.4528
9/2/2024,20:00,121.8
9/2/2024,21:00,100.6908
9/2/2024,22:00,91.56
9/2/2024,23:00,87.5868
9/3/2024,00:00,85.4196
9/3/2024,01:00,84.8316
9/3/2024,02:00,84
9/3/2024,03:00,85.6968
9/3/2024,04:00,93.2904
9/3/2024,05:00,105.336
9/3/2024,06:00,123.6648
9/3/2024,07:00,128.1
9/3/2024,08:00,122.388
9/3/2024,09:00,105
9/3/2024,10:00,89.7036
9/3/2024,11:00,84.714
9/3/2024,12:00,79.7328
9/3/2024,13:00,80.9592
9/3/2024,14:00,81.5892
9/3/2024,15:00,89.1996
9/3/2024,16:00,106.6128
9/3/2024,17:00,121.8252
9/3/2024,18:00,125.328
9/3/2024,19:00,125.286
9/3/2024,20:00,108.948
9/3/2024,21:00,91.7196
9/3/2024,22:00,83.9916
9/3/2024,23:00,80.6568
9/4/2024,00:00,77.7504
9/4/2024,01:00,75.4908
9/4/2024,02:00,75.0288
9/4/2024,03:00,75.4908
9/4/2024,04:00,79.8
9/4/2024,05:00,90.3336
9/4/2024,06:00,113.442
9/4/2024,07:00,111.1404
9/4/2024,08:00,98.532
9/4/2024,09:00,85.7304
9/4/2024,10:00,81.8916
9/4/2024,11:00,78.8088
9/4/2024,12:00,78.498
9/4/2024,13:00,78.666
9/4/2024,14:00,80.6484
9/4/2024,15:00,84.84
9/4/2024,16:00,104.8068
9/4/2024,17:00,117.6084
9/4/2024,18:00,115.2816
9/4/2024,19:00,112.644
9/4/2024,20:00,97.5996
9/4/2024,21:00,84.8316
9/4/2024,22:00,87.402
9/4/2024,23:00,86.6292
9/5/2024,00:00,82.2024
9/5/2024,01:00,81.27
9/5/2024,02:00,79.044
9/5/2024,03:00,79.7496
9/5/2024,04:00,81.648
9/5/2024,05:00,99.792
9/5/2024,06:00,109.2084
9/5/2024,07:00,127.68
9/5/2024,08:00,121.8
9/5/2024,09:00,112.392
9/5/2024,10:00,96.6
9/5/2024,11:00,88.7292
9/5/2024,12:00,79.8
9/5/2024,13:00,71.3916
9/5/2024,14:00,70.812
9/5/2024,15:00,74.7684
9/5/2024,16:00,88.2
9/5/2024,17:00,99.5148
9/5/2024,18:00,97.3056
9/5/2024,19:00,88.2
9/5/2024,20:00,76.4316
9/5/2024,21:00,71.022
9/5/2024,22:00,62.6808
9/5/2024,23:00,56.7168
9/6/2024,00:00,54.9024
9/6/2024,01:00,55.482
9/6/2024,02:00,52.9536
9/6/2024,03:00,57.12
9/6/2024,04:00,64.8312
9/6/2024,05:00,88.2
9/6/2024,06:00,90.6696
9/6/2024,07:00,88.2168
9/6/2024,08:00,89.6952
9/6/2024,09:00,83.16
9/6/2024,10:00,80.2536
9/6/2024,11:00,81.3204
9/6/2024,12:00,79.8
9/6/2024,13:00,76.4064
9/6/2024,14:00,74.76
9/6/2024,15:00,80.2536
9/6/2024,16:00,91.896
9/6/2024,17:00,101.5476
9/6/2024,18:00,105.1428
9/6/2024,19:00,100.9428
9/6/2024,20:00,103.908
9/6/2024,21:00,92.316
9/6/2024,22:00,104.1264
9/6/2024,23:00,96.6
9/7/2024,00:00,90.2412
9/7/2024,01:00,87.9396
9/7/2024,02:00,87.9396
9/7/2024,03:00,87.9396
9/7/2024,04:00,89.1072
9/7/2024,05:00,99.5736
9/7/2024,06:00,85.7724
9/7/2024,07:00,117.2976
9/7/2024,08:00,134.988
9/7/2024,09:00,133.4172
9/7/2024,10:00,121.8336
9/7/2024,11:00,118.86
9/7/2024,12:00,109.2
9/7/2024,13:00,98.49
9/7/2024,14:00,97.692
9/7/2024,15:00,114.996
9/7/2024,16:00,133.4172
9/7/2024,17:00,146.076
9/7/2024,18:00,140.364
9/7/2024,19:00,146.0844
9/7/2024,20:00,128.94
9/7/2024,21:00,102.5892
9/7/2024,22:00,148.1424
9/7/2024,23:00,121.8
9/8/2024,00:00,96.9528
9/8/2024,01:00,89.8968
9/8/2024,02:00,83.4708
9/8/2024,03:00,80.2872
9/8/2024,04:00,79.086
9/8/2024,05:00,75.7344
9/8/2024,06:00,76.5912
9/8/2024,07:00,83.16
9/8/2024,08:00,94.3152
9/8/2024,09:00,97.3308
9/8/2024,10:00,93.03
9/8/2024,11:00,84.084
9/8/2024,12:00,77.3136
9/8/2024,13:00,73.164
9/8/2024,14:00,65.7804
9/8/2024,15:00,74.4156
9/8/2024,16:00,84.6804
9/8/2024,17:00,96.8688
9/8/2024,18:00,100.758
9/8/2024,19:00,96.6
9/8/2024,20:00,84.9408
9/8/2024,21:00,82.0512
9/8/2024,22:00,80.3208
9/8/2024,23:00,80.3208